
furent          furent2         0.8033
20    quant paris et sa conpaignie furent en_si atornés com je vos
2752  quant jason et sa conpaignie furent ensi atornés et vestus com

atornés         atornés1        0.8393
22    et sa conpaignie furent en_si atornés com je vos ai dit
2754  et sa conpaignie furent ensi atornés et vestus com je vos

estoit          estoit1         0.7379
433   cité de cimestree qi moult estoit riche et grant si avoit
3686  en sa sala qi mult estoit riche et grant si la

grant           grant4          0.7273
436   qi moult estoit riche et grant si avoit adonc dame heleine
3689  qi mult estoit riche et grant si la conjoï et acoula

estoient        estoient1       0.8545
753   lor estre et donc il estoient et qi ·l aloient chersant
3409  lor estre et qi ·l estoient et qoi aloient chersant por

aloient         aloient3        0.8966
757   il estoient et qi ·l aloient chersant par cele contree les
3412  qi ·l estoient et qoi aloient chersant por cele contree li

furent          furent1         0.7071
1356  lor nes et quant il furent as nes venus le soleil
2855  le roi et quant il furent au palais venuz là_où li

grant           grant4          0.701
3545  estre ho els à moult grant joie et à grant soulaz
2055  terre il en ot mult grant ire et grant doulor si

grant           grant1          0.7059
3549  ho els à moult grant joie et à grant soulaz
2058  il en ot mult grant ire et grant doulor si

|               nan             0.7358
3595  paroules et li dist en_tel_mainiere | dame fist il je vos
4353  il respondi en tel mainiere | dame fist il je sui

qe              qe3             0.7234
3606  je vos fais à savoir qe je vos aime sor toutes
1987  guerre si vos fais savoir qe se vos i est trovés

vos             vos1            0.7778
3608  je vos fais à savoir qe je
1990  si vos fais savoir qe se vos

grant           grant4          0.7959
4045  vers la cité à moult grant joie et à moult grant
6225  la nuit ensenble à mult grant joie et à mult grant

grant           grant1          0.8293
4050  cité à moult grant joie et à moult grant
6230  ensenble à mult grant joie et à mult grant

bien            bien4           0.7416
4372  vos ai dit si disoit bien à soi meïsmes q’ il
3551  il l’ amast si dit bien à soi meïsmes qe poi

meïsmes         meïsmes4        0.7593
4375  si disoit bien à soi meïsmes q’ il avra desormés se
3554  si dit bien à soi meïsmes qe poi priseroit de_sor_mès son

grant           grant4          0.7379
4544  volonté son pere à moult grant henor et à moult grant
6225  la nuit ensenble à mult grant joie et à mult grant

grant           grant1          0.7952
4549  pere à moult grant henor et à moult grant
6230  ensenble à mult grant joie et à mult grant
